,,,,,,,,,,,,,,,,, ml , dl , l , t , T , floz , oz , c , pt , qt , gal ,g,lb
,"Volume-to-weight calculator by Martin Lersch (v.2, January 2014)",,,,,,,,,Optional,,,,,,," 1,00 ", 100 , 1.000 ," 5,0 "," 15,0 "," 29,6 "," 28,3 ", 237 , 473 , 946 , 3.785 ,1,453
,Convert US customary units to grams based on densities,,,,,,,,,scaling:,"0,7",,,,,, g/ml , g/dl , g/l , g/t , g/T , g/floz , g/oz , g/cup , g/pt , g/qt , g/gal ,,g/lb
,,,,,,,,,,,,,,,"allspice, ground",," 0,42 ", 42 , 420 ," 2,1 "," 6,3 "," 12,4 "," 28,3 ", 99 , 199 , 397 , 1.590 ,1,453
,,,,,,,,,,,,,,,"almonds, ground",," 0,36 ", 36 , 360 ," 1,8 "," 5,4 "," 10,6 "," 28,3 ", 85 , 170 , 341 , 1.363 ,1,453
,Amount,Unit *,Ingredient,,Amount,Unit,%,Scaled amounts,,Amount,Unit,,,,"almonds, sliced",," 0,39 ", 39 , 389 ," 1,9 "," 5,8 "," 11,5 "," 28,3 ", 92 , 184 , 368 , 1.472 ,1,453
,1,c,"blueberries, raw",148,150,g,"4,1 %",105,,105,g,,,,"almonds, whole",," 0,66 ", 66 , 660 ," 3,3 "," 9,9 "," 19,5 "," 28,3 ", 156 , 312 , 625 , 2.498 ,1,453
,1,c,sugar,"205,831765755",210,g,"5,7 %",147,,145,g,,,,anchovies,," 1,02 ", 102 , 1.020 ," 5,1 "," 15,3 "," 30,2 "," 28,3 ", 241 , 483 , 965 , 3.861 ,1,453
,14,oz,flour,"396,893",400,g,"10,9 %",280,,280,g,,,,"anise seed, whole",," 0,45 ", 45 , 447 ," 2,2 "," 6,7 "," 13,2 "," 28,3 ", 106 , 211 , 423 , 1.691 ,1,453
,"1,5",c,milk,"354,88235475",350,g,"9,5 %",245,,250,g,,,,"apples, dried",," 0,38 ", 38 , 380 ," 1,9 "," 5,7 "," 11,2 "," 28,3 ", 90 , 180 , 360 , 1.438 ,1,453
,1,t,vanilla extract,"4,4","4,4",g,"0,1 %","3,08",,"3,1",g,,,,"apples, sliced",," 0,76 ", 76 , 760 ," 3,8 "," 11,4 "," 22,5 "," 28,3 ", 180 , 360 , 719 , 2.877 ,1,453
,"1,5",t,baking powder,"5,7","5,5",g,"0,1 %","3,85",,"3,9",g,,,,"apricots, dried",," 0,64 ", 64 , 640 ," 3,2 "," 9,6 "," 18,9 "," 28,3 ", 151 , 303 , 606 , 2.423 ,1,453
,5,,egg,"302,5",300,g,"8,2 %",210,,210,g,,,,arrowroot,," 0,95 ", 95 , 950 ," 4,8 "," 14,3 "," 28,1 "," 28,3 ", 225 , 450 , 899 , 3.596 ,1,453
,2,,egg yolk,40,40,g,"1,1 %",28,,28,g,,,,arrowroot flour,," 0,54 ", 54 , 541 ," 2,7 "," 8,1 "," 16,0 "," 28,3 ", 128 , 256 , 512 , 2.048 ,1,453
,2,qt,water,"1892,705892",1900,g,"51,7 %",1330,,1325,g,,,,bacon fat,," 0,76 ", 76 , 760 ," 3,8 "," 11,4 "," 22,5 "," 28,3 ", 180 , 360 , 719 , 2.877 ,1,453
,5,ml,rum (40%),"4,7","4,7",g,"0,1 %","3,29",,"3,3",g,,,,baking powder,," 0,76 ", 76 , 760 ," 3,8 "," 11,4 "," 22,5 "," 28,3 ", 180 , 360 , 719 , 2.877 ,1,453
,12,g,"yeast, active dry",12,12,g,"0,3 %","8,4",,"8,5",g,,,,baking soda,," 0,87 ", 87 , 870 ," 4,4 "," 13,1 "," 25,7 "," 28,3 ", 206 , 412 , 823 , 3.293 ,1,453
,1,,"butter, stick","114,75",115,g,"3,1 %","80,5",,80,g,,,,bamboo shoots,," 1,14 ", 114 , 1.140 ," 5,7 "," 17,1 "," 33,7 "," 28,3 ", 270 , 539 , 1.079 , 4.315 ,1,453
,"0,5",c,"walnuts, chopped","57,9641179425",60,g,"1,6 %",42,,42,g,,,,"bananas, mashed",," 0,97 ", 97 , 970 ," 4,9 "," 14,6 "," 28,7 "," 28,3 ", 229 , 459 , 918 , 3.672 ,1,453
,"0,5",c,"raisins, seedless, not packed","72,5",75,g,"2,0 %","52,5",,55,g,,,,"bananas, sliced",," 0,76 ", 76 , 760 ," 3,8 "," 11,4 "," 22,5 "," 28,3 ", 180 , 360 , 719 , 2.877 ,1,453
,1,T,"wine, red","14,85",15,g,"0,4 %","10,5",,11,g,,,,barley flour,," 0,63 ", 63 , 626 ," 3,1 "," 9,4 "," 18,5 "," 28,3 ", 148 , 296 , 592 , 2.368 ,1,453
,1,floz,"vodka, 40%","27,79911778875",28,g,"0,8 %","19,6",,20,g,,,,"barley, uncooked",," 0,78 ", 78 , 780 ," 3,9 "," 11,7 "," 23,1 "," 28,3 ", 185 , 369 , 738 , 2.953 ,1,453
,1,t,"nutmeg, ground","2,33333333333333","2,3",g,"0,1 %","1,61",,"1,6",g,,,,"basil, dried",," 0,11 ", 11 , 110 ," 0,6 "," 1,7 "," 3,3 "," 28,3 ", 26 , 52 , 104 , 416 ,1,453
